25,-94,-92,36,82,-90
24,-94,-90,36,90,-90
23,-94,-91,32,81,-90
22,-94,-91,35,93,-90
21,-94,-90,36,81,-90
19,-94,-91,34,81,-90
19,-94,-91,40,80,-90
19,-94,-92,37,81,-90
19,-95,-91,40,82,-90
20,-94,-91,40,94,-90
21,-94,-91,39,95,-90
23,-94,-91,32,97,-90
22,-94,-91,35,82,-90
23,-94,-91,40,92,-90
22,-94,-91,32,79,-90
22,-94,-91,39,94,-90
21,-94,-91,40,83,-90
21,-94,-90,37,93,-90
23,-94,-91,39,94,-90
23,-94,-91,36,94,-90
24,-94,-90,37,95,-90
23,-94,-91,37,81,-90
23,-94,-90,35,90,-90
23,-94,-91,41,90,-90
22,-94,-91,35,79,-90
22,-94,-91,37,95,-90
22,-94,-91,36,97,-90
23,-94,-91,41,94,-90
23,-94,-92,38,80,-90
23,-94,-91,35,95,-90
23,-94,-91,39,79,-90
23,-94,-90,32,94,-90
23,-93,-91,39,95,-90
23,-94,-91,39,94,-90
23,-94,-91,37,81,-90
22,-94,-90,37,80,-90
22,-93,-91,32,97,-90
22,-93,-90,32,93,-90
22,-94,-91,36,97,-90
22,-94,-91,37,96,-90
23,-94,-90,35,93,-90
24,-94,-91,39,93,-90
22,-94,-90,34,65,-90
23,-94,-91,39,95,-90
23,-94,-92,39,94,-90
21,-94,-90,35,83,-90
22,-94,-90,37,96,-90
20,-94,-91,37,77,-90
23,-94,-92,41,94,-90
22,-94,-91,36,80,-90
22,-94,-90,36,94,-90
23,-93,-91,36,95,-90
21,-94,-91,35,81,-90
23,-94,-91,38,95,-90
23,-94,-91,41,95,-90
24,-94,-91,38,96,-90
23,-94,-90,36,80,-90
23,-94,-91,39,94,-90
23,-94,-91,40,77,-90
22,-94,-90,37,78,-90
22,-93,-91,41,98,-90
22,-94,-90,38,90,-90
22,-94,-90,39,81,-90
22,-94,-90,37,96,-90
23,-94,-90,36,94,-90
23,-94,-91,38,81,-90
22,-94,-90,39,81,-90
